"","BillId","BillNumber","Biennium","LegalTitle","IntroducedDate","Sponsor","PrimeSponsorID","LongDescription","billUrl"
"11","HB 1010","1010","2017-18","AN ACT Relating to directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements;","2017-01-09T00:00:00","(Shea)","14202","Directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements.","http://app.leg.wa.gov/billsummary?BillNumber=1010&Year=2017&Initiative=false"
"12","SHB 1010","1010","2017-18","AN ACT Relating to directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements;","2017-02-07T00:00:00","ENVI(Shea)","14202","Directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements.","http://app.leg.wa.gov/billsummary?BillNumber=1010&Year=2017&Initiative=false"
"13","HB 1010","1010","2017-18","AN ACT Relating to directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements;","2017-01-09T00:00:00","(Shea)","14202","Directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements.","http://app.leg.wa.gov/billsummary?BillNumber=1010&Year=2017&Initiative=false"
"14","SHB 1010","1010","2017-18","AN ACT Relating to directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements;","2017-02-07T00:00:00","ENVI(Shea)","14202","Directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements.","http://app.leg.wa.gov/billsummary?BillNumber=1010&Year=2017&Initiative=false"
"15","HB 1011","1011","2017-18","AN ACT Relating to allowing the use of gender-segregated facilities;","2017-01-09T00:00:00","(Taylor)","15006","Allowing the use of gender-segregated facilities.","http://app.leg.wa.gov/billsummary?BillNumber=1011&Year=2017&Initiative=false"
"16","HB 1012","1012","2017-18","AN ACT Relating to eliminating the use of the high school science assessment as a graduation prerequisite;","2017-01-09T00:00:00","(Taylor)","15006","Eliminating the use of the high school science assessment as a graduation prerequisite.","http://app.leg.wa.gov/billsummary?BillNumber=1012&Year=2017&Initiative=false"
"17","HB 1013","1013","2017-18","AN ACT Relating to reducing overlap between the state environmental policy act and other laws;","2017-01-09T00:00:00","(Shea)","14202","Reducing overlap between the state environmental policy act and other laws.","http://app.leg.wa.gov/billsummary?BillNumber=1013&Year=2017&Initiative=false"
"18","HB 1014","1014","2017-18","AN ACT Relating to establishing a peer review process to ensure robust economic analysis of department of ecology administrative rules;","2017-01-09T00:00:00","(Shea)","14202","Establishing a peer review process to ensure robust economic analysis of department of ecology administrative rules.","http://app.leg.wa.gov/billsummary?BillNumber=1014&Year=2017&Initiative=false"
"19","HB 1015","1015","2017-18","AN ACT Relating to prohibiting restrictions on the carrying of a concealed pistol by persons with a valid concealed pistol license in certain facilities;","2017-01-09T00:00:00","(Shea)","14202","Prohibiting restrictions on the carrying of a concealed pistol by persons with a valid concealed pistol license in certain facilities.","http://app.leg.wa.gov/billsummary?BillNumber=1015&Year=2017&Initiative=false"
"20","HB 1016","1016","2017-18","AN ACT Relating to requiring a finding of guilt prior to the forfeiture of private property;","2017-01-09T00:00:00","(Taylor)","15006","Requiring a finding of guilt prior to the forfeiture of private property.","http://app.leg.wa.gov/billsummary?BillNumber=1016&Year=2017&Initiative=false"
"21","HB 1017","1017","2017-18","AN ACT Relating to the siting of schools and school facilities;","2017-01-09T00:00:00","(McCaslin)","20741","Addressing the siting of schools and school facilities.","http://app.leg.wa.gov/billsummary?BillNumber=1017&Year=2017&Initiative=false"
"22","ESHB 1017","1017","2017-18","AN ACT Relating to the siting of schools and school facilities;","2017-02-16T00:00:00","ENVI(McCaslin)","20741","Addressing the siting of schools and school facilities.","http://app.leg.wa.gov/billsummary?BillNumber=1017&Year=2017&Initiative=false"
"23","HB 1017","1017","2017-18","AN ACT Relating to the siting of schools and school facilities;","2017-01-09T00:00:00","(McCaslin)","20741","Addressing the siting of schools and school facilities.","http://app.leg.wa.gov/billsummary?BillNumber=1017&Year=2017&Initiative=false"
"24","ESHB 1017","1017","2017-18","AN ACT Relating to the siting of schools and school facilities;","2017-02-16T00:00:00","ENVI(McCaslin)","20741","Addressing the siting of schools and school facilities.","http://app.leg.wa.gov/billsummary?BillNumber=1017&Year=2017&Initiative=false"
"25","HB 1018","1018","2017-18","AN ACT Relating to modifying the maximum amount for grants provided to airports and air navigation facilities;","2017-01-09T00:00:00","(Dent)","20761","Modifying the maximum amount for grants provided to airports and air navigation facilities.","http://app.leg.wa.gov/billsummary?BillNumber=1018&Year=2017&Initiative=false"
"26","HB 1019","1019","2017-18","AN ACT Relating to state fire services mobilization;","2017-01-09T00:00:00","(Dent)","20761","Concerning state fire services mobilization.","http://app.leg.wa.gov/billsummary?BillNumber=1019&Year=2017&Initiative=false"
"27","SHB 1019","1019","2017-18","AN ACT Relating to state fire services mobilization;","2017-01-26T00:00:00","PS(Dent)","20761","Concerning state fire services mobilization.","http://app.leg.wa.gov/billsummary?BillNumber=1019&Year=2017&Initiative=false"
"28","HB 1019","1019","2017-18","AN ACT Relating to state fire services mobilization;","2017-01-09T00:00:00","(Dent)","20761","Concerning state fire services mobilization.","http://app.leg.wa.gov/billsummary?BillNumber=1019&Year=2017&Initiative=false"
"29","SHB 1019","1019","2017-18","AN ACT Relating to state fire services mobilization;","2017-01-26T00:00:00","PS(Dent)","20761","Concerning state fire services mobilization.","http://app.leg.wa.gov/billsummary?BillNumber=1019&Year=2017&Initiative=false"
"30","HB 1020","1020","2017-18","AN ACT Relating to allowing beer and/or wine specialty shop licensees to sell products made by distillers that produce sixty thousand gallons or less of spirits per year;","2017-01-09T00:00:00","(Johnson)","14211","Allowing beer and/or wine specialty shop licensees to sell products made by distillers that produce sixty thousand gallons or less of spirits per year.","http://app.leg.wa.gov/billsummary?BillNumber=1020&Year=2017&Initiative=false"
"31","HB 1021","1021","2017-18","AN ACT Relating to funding education first;","2017-01-09T00:00:00","(MacEwen)","17221","Funding education first.","http://app.leg.wa.gov/billsummary?BillNumber=1021&Year=2017&Initiative=false"
"32","HB 1022","1022","2017-18","AN ACT Relating to alien victims of certain qualifying criminal activity;","2017-01-09T00:00:00","(MacEwen)","17221","Enhancing crime victim participation in the criminal justice system process.","http://app.leg.wa.gov/billsummary?BillNumber=1022&Year=2017&Initiative=false"
"33","SHB 1022","1022","2017-18","AN ACT Relating to alien victims of certain qualifying criminal activity;","2017-02-09T00:00:00","PS(MacEwen)","17221","Enhancing crime victim participation in the criminal justice system process.","http://app.leg.wa.gov/billsummary?BillNumber=1022&Year=2017&Initiative=false"
"34","HB 1022","1022","2017-18","AN ACT Relating to alien victims of certain qualifying criminal activity;","2017-01-09T00:00:00","(MacEwen)","17221","Enhancing crime victim participation in the criminal justice system process.","http://app.leg.wa.gov/billsummary?BillNumber=1022&Year=2017&Initiative=false"
"35","SHB 1022","1022","2017-18","AN ACT Relating to alien victims of certain qualifying criminal activity;","2017-02-09T00:00:00","PS(MacEwen)","17221","Enhancing crime victim participation in the criminal justice system process.","http://app.leg.wa.gov/billsummary?BillNumber=1022&Year=2017&Initiative=false"
"36","HB 1023","1023","2017-18","AN ACT Relating to military student participation in varsity extracurricular activities;","2017-01-09T00:00:00","(MacEwen)","17221","Concerning military student participation in varsity extracurricular activities.","http://app.leg.wa.gov/billsummary?BillNumber=1023&Year=2017&Initiative=false"
"37","HB 1024","1024","2017-18","AN ACT Relating to authorizing cities and counties to facilitate the maintenance and repair of private roadways impacting the public interest;","2017-01-09T00:00:00","(MacEwen)","17221","Authorizing cities and counties to facilitate the maintenance and repair of private roadways impacting the public interest.","http://app.leg.wa.gov/billsummary?BillNumber=1024&Year=2017&Initiative=false"
"38","HB 1025","1025","2017-18","AN ACT Relating to establishing priorities for enactment of appropriations and tax legislation;","2017-01-09T00:00:00","(Taylor)","15006","Establishing priorities for enactment of appropriations and tax legislation.","http://app.leg.wa.gov/billsummary?BillNumber=1025&Year=2017&Initiative=false"
"39","HB 1026","1026","2017-18","AN ACT Relating to requiring the submission of a waiver to the federal government to create the Washington health security trust;","2017-01-09T00:00:00","(Appleton)","10031","Requiring the submission of a waiver to the federal government to create the Washington health security trust.","http://app.leg.wa.gov/billsummary?BillNumber=1026&Year=2017&Initiative=false"
"40","HB 1027","1027","2017-18","AN ACT Relating to surplus line broker licensing;","2017-01-09T00:00:00","(Barkis)","24075","Addressing surplus line broker licensing.","http://app.leg.wa.gov/billsummary?BillNumber=1027&Year=2017&Initiative=false"
"41","SHB 1027","1027","2017-18","AN ACT Relating to surplus line broker licensing;","2017-01-11T00:00:00","BFS(Barkis)","24075","Addressing surplus line broker licensing.","http://app.leg.wa.gov/billsummary?BillNumber=1027&Year=2017&Initiative=false"
"42","HB 1027","1027","2017-18","AN ACT Relating to surplus line broker licensing;","2017-01-09T00:00:00","(Barkis)","24075","Addressing surplus line broker licensing.","http://app.leg.wa.gov/billsummary?BillNumber=1027&Year=2017&Initiative=false"
"43","SHB 1027","1027","2017-18","AN ACT Relating to surplus line broker licensing;","2017-01-11T00:00:00","BFS(Barkis)","24075","Addressing surplus line broker licensing.","http://app.leg.wa.gov/billsummary?BillNumber=1027&Year=2017&Initiative=false"
"44","HB 1028","1028","2017-18","AN ACT Relating to reducing air pollution associated with asphalt production in urban areas;","2017-01-09T00:00:00","(Pollet)","16596","Reducing air pollution associated with asphalt production in urban areas.","http://app.leg.wa.gov/billsummary?BillNumber=1028&Year=2017&Initiative=false"
"45","HB 1029","1029","2017-18","AN ACT Relating to the election and authority of regional transit authority board members;","2017-01-09T00:00:00","(Harmsworth)","20740","Modifying the election and authority of regional transit authority board members.","http://app.leg.wa.gov/billsummary?BillNumber=1029&Year=2017&Initiative=false"
"46","HB 1030","1030","2017-18","AN ACT Relating to replacing the Interstate 405 express toll lanes with a general purpose lane and a high occupancy vehicle lane;","2017-01-09T00:00:00","(Harmsworth)","20740","Authorizing the replacement of Interstate 405 express toll lanes with a general purpose lane and a high occupancy vehicle lane.","http://app.leg.wa.gov/billsummary?BillNumber=1030&Year=2017&Initiative=false"
"47","EHB 1031","1031","2017-18","AN ACT Relating to the use of unmanned aerial systems near certain protected marine species;","2017-01-09T00:00:00","(Lytton)","15818","Concerning the use of unmanned aerial systems near certain protected marine species.","http://app.leg.wa.gov/billsummary?BillNumber=1031&Year=2017&Initiative=false"
"48","EHB 1032","1032","2017-18","AN ACT Relating to the excise taxation of martial arts;","2017-01-09T00:00:00","(Ryu)","15736","Concerning the excise taxation of martial arts.","http://app.leg.wa.gov/billsummary?BillNumber=1032&Year=2017&Initiative=false"
"49","HB 1033","1033","2017-18","AN ACT Relating to expanding access to the state need grant by modifying awards for students attending private four-year institutions of higher education;","2017-01-09T00:00:00","(Manweller)","17213","Expanding access to the state need grant by modifying awards for students attending private four-year institutions of higher education.","http://app.leg.wa.gov/billsummary?BillNumber=1033&Year=2017&Initiative=false"
"50","HB 1034","1034","2017-18","AN ACT Relating to legal actions against the state by state officials;","2017-01-09T00:00:00","(Manweller)","17213","Concerning legal actions against the state by state officials.","http://app.leg.wa.gov/billsummary?BillNumber=1034&Year=2017&Initiative=false"
"51","HB 1035","1035","2017-18","AN ACT Relating to ensuring the accuracy of prevailing wage survey data provided by interested parties;","2017-01-09T00:00:00","(Manweller)","17213","Ensuring the accuracy of prevailing wage survey data provided by interested parties.","http://app.leg.wa.gov/billsummary?BillNumber=1035&Year=2017&Initiative=false"
"52","HB 1036","1036","2017-18","AN ACT Relating to business practices of registered tow truck operators by authorizing electronic records creation and storage;","2017-01-09T00:00:00","(Harmsworth)","20740","Concerning business practices of registered tow truck operators by authorizing electronic records creation and storage.","http://app.leg.wa.gov/billsummary?BillNumber=1036&Year=2017&Initiative=false"
"53","SHB 1036","1036","2017-18","AN ACT Relating to business practices of registered tow truck operators by authorizing electronic records creation and storage;","2017-02-08T00:00:00","TR(Harmsworth)","20740","Concerning business practices of registered tow truck operators by authorizing electronic records creation and storage.","http://app.leg.wa.gov/billsummary?BillNumber=1036&Year=2017&Initiative=false"
"54","HB 1036","1036","2017-18","AN ACT Relating to business practices of registered tow truck operators by authorizing electronic records creation and storage;","2017-01-09T00:00:00","(Harmsworth)","20740","Concerning business practices of registered tow truck operators by authorizing electronic records creation and storage.","http://app.leg.wa.gov/billsummary?BillNumber=1036&Year=2017&Initiative=false"
"55","SHB 1036","1036","2017-18","AN ACT Relating to business practices of registered tow truck operators by authorizing electronic records creation and storage;","2017-02-08T00:00:00","TR(Harmsworth)","20740","Concerning business practices of registered tow truck operators by authorizing electronic records creation and storage.","http://app.leg.wa.gov/billsummary?BillNumber=1036&Year=2017&Initiative=false"
"56","HB 1037","1037","2017-18","AN ACT Relating to notice sent by and certain release of information affecting registered tow truck operators;","2017-01-09T00:00:00","(Stanford)","15809","Concerning notice sent by and certain release of information affecting registered tow truck operators.","http://app.leg.wa.gov/billsummary?BillNumber=1037&Year=2017&Initiative=false"
"57","SHB 1037","1037","2017-18","AN ACT Relating to notice sent by and certain release of information affecting registered tow truck operators;","2017-02-01T00:00:00","TR(Stanford)","15809","Concerning certain notice sent by registered tow truck operators.","http://app.leg.wa.gov/billsummary?BillNumber=1037&Year=2017&Initiative=false"
"58","HB 1037","1037","2017-18","AN ACT Relating to notice sent by and certain release of information affecting registered tow truck operators;","2017-01-09T00:00:00","(Stanford)","15809","Concerning notice sent by and certain release of information affecting registered tow truck operators.","http://app.leg.wa.gov/billsummary?BillNumber=1037&Year=2017&Initiative=false"
"59","SHB 1037","1037","2017-18","AN ACT Relating to notice sent by and certain release of information affecting registered tow truck operators;","2017-02-01T00:00:00","TR(Stanford)","15809","Concerning certain notice sent by registered tow truck operators.","http://app.leg.wa.gov/billsummary?BillNumber=1037&Year=2017&Initiative=false"
"60","HB 1038","1038","2017-18","AN ACT Relating to increasing the number of tasting rooms allowed under a domestic winery license;","2017-01-09T00:00:00","(Condotta)","8237","Increasing the number of tasting rooms allowed under a domestic winery license.","http://app.leg.wa.gov/billsummary?BillNumber=1038&Year=2017&Initiative=false"
"61","SHB 1038","1038","2017-18","AN ACT Relating to increasing the number of tasting rooms allowed under a domestic winery license;","2017-01-19T00:00:00","COG(Condotta)","8237","Increasing the number of tasting rooms allowed under a domestic winery license.","http://app.leg.wa.gov/billsummary?BillNumber=1038&Year=2017&Initiative=false"
"62","HB 1038","1038","2017-18","AN ACT Relating to increasing the number of tasting rooms allowed under a domestic winery license;","2017-01-09T00:00:00","(Condotta)","8237","Increasing the number of tasting rooms allowed under a domestic winery license.","http://app.leg.wa.gov/billsummary?BillNumber=1038&Year=2017&Initiative=false"
"63","SHB 1038","1038","2017-18","AN ACT Relating to increasing the number of tasting rooms allowed under a domestic winery license;","2017-01-19T00:00:00","COG(Condotta)","8237","Increasing the number of tasting rooms allowed under a domestic winery license.","http://app.leg.wa.gov/billsummary?BillNumber=1038&Year=2017&Initiative=false"
"64","HB 1039","1039","2017-18","AN ACT Relating to allowing sales of growlers of wine;","2017-01-09T00:00:00","(Wylie)","16462","Allowing sales of growlers of wine.","http://app.leg.wa.gov/billsummary?BillNumber=1039&Year=2017&Initiative=false"
"65","SHB 1039","1039","2017-18","AN ACT Relating to allowing sales of growlers of wine;","2017-02-02T00:00:00","COG(Wylie)","16462","Allowing sales of growlers of wine.","http://app.leg.wa.gov/billsummary?BillNumber=1039&Year=2017&Initiative=false"
"66","2SHB 1039","1039","2017-18","AN ACT Relating to allowing sales of growlers of wine;","2018-01-23T00:00:00","COG(Wylie)","16462","Allowing sales of growlers of wine.","http://app.leg.wa.gov/billsummary?BillNumber=1039&Year=2018&Initiative=false"
"67","HB 1039","1039","2017-18","AN ACT Relating to allowing sales of growlers of wine;","2017-01-09T00:00:00","(Wylie)","16462","Allowing sales of growlers of wine.","http://app.leg.wa.gov/billsummary?BillNumber=1039&Year=2017&Initiative=false"
"68","SHB 1039","1039","2017-18","AN ACT Relating to allowing sales of growlers of wine;","2017-02-02T00:00:00","COG(Wylie)","16462","Allowing sales of growlers of wine.","http://app.leg.wa.gov/billsummary?BillNumber=1039&Year=2017&Initiative=false"
"69","2SHB 1039","1039","2017-18","AN ACT Relating to allowing sales of growlers of wine;","2018-01-23T00:00:00","COG(Wylie)","16462","Allowing sales of growlers of wine.","http://app.leg.wa.gov/billsummary?BillNumber=1039&Year=2018&Initiative=false"
"70","HB 1040","1040","2017-18","AN ACT Relating to providing small winery tax relief;","2017-01-09T00:00:00","(Wylie)","16462","Providing small winery tax relief.","http://app.leg.wa.gov/billsummary?BillNumber=1040&Year=2017&Initiative=false"
"71","HB 1041","1041","2017-18","AN ACT Relating to facilitating compliance with the federal REAL ID act by modifying driver's license and identicard design and fees;","2017-01-09T00:00:00","(Clibborn)","8209","Facilitating compliance with the federal REAL ID act by modifying driver's license and identicard design and fees.","http://app.leg.wa.gov/billsummary?BillNumber=1041&Year=2017&Initiative=false"
"72","HB 1042","1042","2017-18","AN ACT Relating to eliminating the office of the insurance commissioner's school district or educational service district annual report;","2017-01-09T00:00:00","(Springer)","10039","Eliminating the office of the insurance commissioner's school district or educational service district annual report.","http://app.leg.wa.gov/billsummary?BillNumber=1042&Year=2017&Initiative=false"
"73","HB 1043","1043","2017-18","AN ACT Relating to nonpublic personal health information;","2017-01-09T00:00:00","(Robinson)","18265","Addressing nonpublic personal health information.","http://app.leg.wa.gov/billsummary?BillNumber=1043&Year=2017&Initiative=false"
"74","SHB 1043","1043","2017-18","AN ACT Relating to nonpublic personal health information;","2017-01-31T00:00:00","HCW(Robinson)","18265","Addressing nonpublic personal health information.","http://app.leg.wa.gov/billsummary?BillNumber=1043&Year=2017&Initiative=false"
"75","HB 1043","1043","2017-18","AN ACT Relating to nonpublic personal health information;","2017-01-09T00:00:00","(Robinson)","18265","Addressing nonpublic personal health information.","http://app.leg.wa.gov/billsummary?BillNumber=1043&Year=2017&Initiative=false"
"76","SHB 1043","1043","2017-18","AN ACT Relating to nonpublic personal health information;","2017-01-31T00:00:00","HCW(Robinson)","18265","Addressing nonpublic personal health information.","http://app.leg.wa.gov/billsummary?BillNumber=1043&Year=2017&Initiative=false"
"77","HB 1044","1044","2017-18","AN ACT Relating to homeownership projects through the housing trust fund;","2017-01-09T00:00:00","(MacEwen)","17221","Concerning the funding of homeownership projects through the housing trust fund.","http://app.leg.wa.gov/billsummary?BillNumber=1044&Year=2017&Initiative=false"
"78","HB 1045","1045","2017-18","AN ACT Relating to licensing and enforcement provisions applicable to money transmitters and currency exchanges under the uniform money services act;","2017-01-09T00:00:00","(Kirby)","5154","Addressing licensing and enforcement provisions applicable to money transmitters and currency exchanges under the uniform money services act.","http://app.leg.wa.gov/billsummary?BillNumber=1045&Year=2017&Initiative=false"
"79","SHB 1045","1045","2017-18","AN ACT Relating to licensing and enforcement provisions applicable to money transmitters and currency exchanges under the uniform money services act;","2017-01-11T00:00:00","BFS(Kirby)","5154","Addressing licensing and enforcement provisions applicable to money transmitters and currency exchanges under the uniform money services act.","http://app.leg.wa.gov/billsummary?BillNumber=1045&Year=2017&Initiative=false"
"80","HB 1045","1045","2017-18","AN ACT Relating to licensing and enforcement provisions applicable to money transmitters and currency exchanges under the uniform money services act;","2017-01-09T00:00:00","(Kirby)","5154","Addressing licensing and enforcement provisions applicable to money transmitters and currency exchanges under the uniform money services act.","http://app.leg.wa.gov/billsummary?BillNumber=1045&Year=2017&Initiative=false"
"81","SHB 1045","1045","2017-18","AN ACT Relating to licensing and enforcement provisions applicable to money transmitters and currency exchanges under the uniform money services act;","2017-01-11T00:00:00","BFS(Kirby)","5154","Addressing licensing and enforcement provisions applicable to money transmitters and currency exchanges under the uniform money services act.","http://app.leg.wa.gov/billsummary?BillNumber=1045&Year=2017&Initiative=false"
"82","HB 1046","1046","2017-18","AN ACT Relating to certificates of academic and individual achievement;","2017-01-09T00:00:00","(MacEwen)","17221","Concerning certificates of academic and individual achievement.","http://app.leg.wa.gov/billsummary?BillNumber=1046&Year=2017&Initiative=false"
"83","ESHB 1046","1046","2017-18","AN ACT Relating to certificates of academic and individual achievement;","2017-01-26T00:00:00","ED(MacEwen)","17221","Concerning certificates of academic and individual achievement.","http://app.leg.wa.gov/billsummary?BillNumber=1046&Year=2017&Initiative=false"
"84","HB 1046","1046","2017-18","AN ACT Relating to certificates of academic and individual achievement;","2017-01-09T00:00:00","(MacEwen)","17221","Concerning certificates of academic and individual achievement.","http://app.leg.wa.gov/billsummary?BillNumber=1046&Year=2017&Initiative=false"
"85","ESHB 1046","1046","2017-18","AN ACT Relating to certificates of academic and individual achievement;","2017-01-26T00:00:00","ED(MacEwen)","17221","Concerning certificates of academic and individual achievement.","http://app.leg.wa.gov/billsummary?BillNumber=1046&Year=2017&Initiative=false"
"86","HB 1047","1047","2017-18","AN ACT Relating to protecting the public's health by creating a system for safe and secure collection and disposal of unwanted medications;","2017-01-09T00:00:00","(Peterson)","20755","Protecting the public's health by creating a system for safe and secure collection and disposal of unwanted medications.","http://app.leg.wa.gov/billsummary?BillNumber=1047&Year=2017&Initiative=false"
"87","ESHB 1047","1047","2017-18","AN ACT Relating to protecting the public's health by creating a system for safe and secure collection and disposal of unwanted medications;","2017-02-15T00:00:00","HCW(Peterson)","20755","Protecting the public's health by creating a system for safe and secure collection and disposal of unwanted medications.","http://app.leg.wa.gov/billsummary?BillNumber=1047&Year=2017&Initiative=false"
"88","HB 1047","1047","2017-18","AN ACT Relating to protecting the public's health by creating a system for safe and secure collection and disposal of unwanted medications;","2017-01-09T00:00:00","(Peterson)","20755","Protecting the public's health by creating a system for safe and secure collection and disposal of unwanted medications.","http://app.leg.wa.gov/billsummary?BillNumber=1047&Year=2017&Initiative=false"
"89","ESHB 1047","1047","2017-18","AN ACT Relating to protecting the public's health by creating a system for safe and secure collection and disposal of unwanted medications;","2017-02-15T00:00:00","HCW(Peterson)","20755","Protecting the public's health by creating a system for safe and secure collection and disposal of unwanted medications.","http://app.leg.wa.gov/billsummary?BillNumber=1047&Year=2017&Initiative=false"
"90","HB 1048","1048","2017-18","AN ACT Relating to promoting a sustainable, local renewable energy industry through modifying renewable energy system tax incentives and providing guidance for renewable energy system component recycling;","2017-01-09T00:00:00","(Morris)","2144","Promoting a sustainable, local renewable energy industry through modifying renewable energy system tax incentives and providing guidance for renewable energy system component recycling.","http://app.leg.wa.gov/billsummary?BillNumber=1048&Year=2017&Initiative=false"
"91","SHB 1048","1048","2017-18","AN ACT Relating to promoting a sustainable, local renewable energy industry through modifying renewable energy system tax incentives and providing guidance for renewable energy system component recycling;","2017-03-01T00:00:00","TED(Morris)","2144","Promoting a sustainable, local renewable energy industry through modifying renewable energy system tax incentives and providing guidance for renewable energy system component recycling.","http://app.leg.wa.gov/billsummary?BillNumber=1048&Year=2017&Initiative=false"
"92","HB 1048","1048","2017-18","AN ACT Relating to promoting a sustainable, local renewable energy industry through modifying renewable energy system tax incentives and providing guidance for renewable energy system component recycling;","2017-01-09T00:00:00","(Morris)","2144","Promoting a sustainable, local renewable energy industry through modifying renewable energy system tax incentives and providing guidance for renewable energy system component recycling.","http://app.leg.wa.gov/billsummary?BillNumber=1048&Year=2017&Initiative=false"
"93","SHB 1048","1048","2017-18","AN ACT Relating to promoting a sustainable, local renewable energy industry through modifying renewable energy system tax incentives and providing guidance for renewable energy system component recycling;","2017-03-01T00:00:00","TED(Morris)","2144","Promoting a sustainable, local renewable energy industry through modifying renewable energy system tax incentives and providing guidance for renewable energy system component recycling.","http://app.leg.wa.gov/billsummary?BillNumber=1048&Year=2017&Initiative=false"
"94","HB 1049","1049","2017-18","AN ACT Relating to unmanned aircraft;","2017-01-09T00:00:00","(Morris)","2144","Concerning unmanned aircraft.","http://app.leg.wa.gov/billsummary?BillNumber=1049&Year=2017&Initiative=false"
"95","HB 1050","1050","2017-18","AN ACT Relating to financing of Chehalis basin flood damage reduction and habitat restoration projects;","2017-01-09T00:00:00","(DeBolt)","2143","Concerning the financing of Chehalis basin flood damage reduction and habitat restoration projects.","http://app.leg.wa.gov/billsummary?BillNumber=1050&Year=2017&Initiative=false"
"96","HB 1051","1051","2017-18","AN ACT Relating to financing essential public infrastructure;","2017-01-09T00:00:00","(DeBolt)","2143","Concerning financing essential public infrastructure.","http://app.leg.wa.gov/billsummary?BillNumber=1051&Year=2017&Initiative=false"
"97","HB 1052","1052","2017-18","AN ACT Relating to repealing the requirement that credentialing authorities suspend a person's occupational credential for nonpayment or default of certain student loans;","2017-01-09T00:00:00","(Sawyer)","17224","Repealing the requirement that credentialing authorities suspend a person's occupational credential for nonpayment or default of certain student loans.","http://app.leg.wa.gov/billsummary?BillNumber=1052&Year=2017&Initiative=false"
"98","HB 1053","1053","2017-18","AN ACT Relating to the Washington state credit union act;","2017-01-09T00:00:00","(Reeves)","27182","Addressing the Washington state credit union act.","http://app.leg.wa.gov/billsummary?BillNumber=1053&Year=2017&Initiative=false"
