"biennium","year","commId","position","repId"
"2001-02",2002,"F2","Ranking Minority Member","2157_01"
"2001-02",2002,"F3","Chair","1661_01"
"2001-02",2002,"F3","Vice Chair","3487_01"
"2001-02",2002,"F3","Ranking Minority Member","1584_01"
"2001-02",2002,"F4","Chair","972_01"
"2001-02",2002,"F4","Vice Chair","2166_01"
"2001-02",2002,"F4","Ranking Minority Member","1587_01"
"2001-02",2002,"F5","Chair","2149_01"
"2001-02",2002,"F5","Vice Chair","3476_01"
"2001-02",2002,"F5","Ranking Minority Member","617_01"
"2001-02",2002,"F6","Chair","649_01"
"2001-02",2002,"F6","Vice Chair","3475_01"
"2001-02",2002,"F6","Ranking Minority Member","658_01"
"2001-02",2002,"F7","Chair","1381_01"
"2001-02",2002,"F7","Vice Chair","6765_01"
"2001-02",2002,"F7","Ranking Minority Member","1572_01"
"2001-02",2002,"F8","Chair","2150_01"
"2001-02",2002,"F8","Vice Chair","3447_01"
"2001-02",2002,"F8","Ranking Minority Member","2167_01"
"2001-02",2002,"F9","Chair","1543_01"
"2001-02",2002,"F9","Vice Chair","3484_01"
"2001-02",2002,"F9","Ranking Minority Member","619_01"
"2001-02",2002,"F10","Chair","2314_01"
"2001-02",2002,"F10","Vice Chair","5158_01"
"2001-02",2002,"F10","Ranking Minority Member","3972_01"
"2001-02",2002,"F11","Chair","2159_01"
"2001-02",2002,"F11","Vice Chair","3486_01"
"2001-02",2002,"F11","Ranking Minority Member","1586_01"
"2001-02",2002,"F12","Chair","1570_01"
"2001-02",2002,"F12","Vice Chair","5156_01"
"2001-02",2002,"F12","Ranking Minority Member","1574_01"
"2001-02",2002,"F13","Chair","630_01"
"2001-02",2002,"F13","Vice Chair","3470_01"
"2001-02",2002,"F13","Ranking Minority Member","1590_01"
"2001-02",2002,"F14","Chair","2174_01"
"2001-02",2002,"F14","Vice Chair","3481_01"
"2001-02",2002,"F14","Ranking Minority Member","2160_01"
"2001-02",2002,"F16","Chair","3486_01"
"2001-02",2002,"F16","Vice Chair","5157_01"
"2001-02",2002,"F16","Ranking Minority Member","250_01"
"2001-02",2002,"F17","Chair","651_01"
"2001-02",2002,"F17","Vice Chair","3478_01"
"2001-02",2002,"F17","Ranking Minority Member","1157_01"
"2001-02",2002,"F18","Chair","2144_01"
"2001-02",2002,"F18","Vice Chair","3482_01"
"2001-02",2002,"F18","Ranking Minority Member","1573_01"
"2001-02",2002,"F19","Chair","661_01"
"2001-02",2002,"F19","Vice Chair","2742_01"
"2001-02",2002,"F19","Ranking Minority Member","443_01"
"2001-02",2002,"F20","Chair","136_01"
"2001-02",2002,"F20","Vice Chair","2150_01"
"2001-02",2002,"F20","Vice Chair","3476_01"
"2001-02",2002,"F20","Ranking Minority Member","286_01"
"2001-02",2002,"F21","Chair","347_01"
"2001-02",2002,"F21","Vice Chair","655_01"
"2001-02",2002,"F21","Ranking Minority Member","1666_01"
"2001-02",2002,"F22","Chair","394_01"
"2001-02",2002,"F22","Vice Chair","512_01"
"2001-02",2002,"F22","Ranking Minority Member","657_01"
"2001-02",2002,"F23","Chair","564_01"
"2001-02",2002,"F23","Vice Chair","633_01"
"2001-02",2002,"F23","Ranking Minority Member","635_01"
"2001-02",2002,"F24","Chair","143_01"
"2001-02",2002,"F24","Vice Chair","1595_01"
"2001-02",2002,"F24","Ranking Minority Member","295_01"
"2001-02",2002,"F25","Chair","659_01"
"2001-02",2002,"F25","Vice Chair","142_01"
"2001-02",2002,"F25","Ranking Minority Member","516_01"
"2001-02",2002,"F26","Chair","644_01"
"2001-02",2002,"F26","Vice Chair","655_01"
"2001-02",2002,"F26","Ranking Minority Member","198_01"
"2001-02",2002,"F27","Chair","171_01"
"2001-02",2002,"F27","Vice Chair","1655_01"
"2001-02",2002,"F27","Ranking Minority Member","647_01"
"2001-02",2002,"F28","Chair","2304_01"
"2001-02",2002,"F28","Vice Chair","2168_01"
"2001-02",2002,"F28","Ranking Minority Member","268_01"
"2001-02",2002,"F29","Chair","337_01"
"2001-02",2002,"F29","Vice Chair","1950_01"
"2001-02",2002,"F29","Ranking Minority Member","475_01"
"2001-02",2002,"F30","Chair","207_01"
"2001-02",2002,"F30","Vice Chair","1658_01"
"2001-02",2002,"F30","Ranking Minority Member","316_01"
"2001-02",2002,"F32","Chair","2153_01"
"2001-02",2002,"F32","Vice Chair","1603_01"
"2001-02",2002,"F32","Ranking Minority Member","361_01"
"2001-02",2002,"F33","Chair","174_01"
"2001-02",2002,"F33","Vice Chair","2153_01"
"2001-02",2002,"F33","Ranking Minority Member","1583_01"
"2001-02",2002,"F34","Chair","618_01"
"2001-02",2002,"F34","Vice Chair","1595_01"
"2001-02",2002,"F34","Vice Chair","1603_01"
"2001-02",2002,"F34","Ranking Minority Member","2140_01"
"2001-02",2001,"F0","Co-Chair","75_01"
"2001-02",2001,"F0","Co-Chair","646_01"
"2001-02",2001,"F0","Vice Chair","2150_01"
"2001-02",2001,"F0","Vice Chair","2172_01"
"2001-02",2001,"F1","Co-Chair","653_01"
"2001-02",2001,"F1","Co-Chair","407_01"
"2001-02",2001,"F1","Vice Chair","3467_01"
"2001-02",2001,"F1","Vice Chair","2174_01"
"2001-02",2001,"F1","Vice Chair","250_01"
"2001-02",2001,"F1","Co-Chair","2157_01"
"2001-02",2001,"F2","Co-Chair","1907_01"
"2001-02",2001,"F2","Vice Chair","5161_01"
"2001-02",2001,"F2","Vice Chair","3472_01"
"2001-02",2001,"F2","Vice Chair","3447_01"
"2001-02",2001,"F3","Co-Chair","1584_01"
"2001-02",2001,"F3","Co-Chair","1661_01"
"2001-02",2001,"F3","Vice Chair","3487_01"
"2001-02",2001,"F3","Vice Chair","5162_01"
"2001-02",2001,"F4","Chair","1587_01"
"2001-02",2001,"F4","Co-Chair","972_01"
"2001-02",2001,"F4","Vice Chair","3469_01"
"2001-02",2001,"F4","Vice Chair","2166_01"
"2001-02",2001,"F5","Co-Chair","617_01"
"2001-02",2001,"F5","Co-Chair","2149_01"
"2001-02",2001,"F5","Vice Chair","5159_01"
"2001-02",2001,"F5","Vice Chair","3476_01"
"2001-02",2001,"F6","Co-Chair","658_01"
"2001-02",2001,"F6","Co-Chair","649_01"
"2001-02",2001,"F6","Vice Chair","5160_01"
"2001-02",2001,"F6","Vice Chair","3475_01"
"2001-02",2001,"F7","Co-Chair","1572_01"
"2001-02",2001,"F7","Co-Chair","2144_01"
"2001-02",2001,"F7","Vice Chair","6765_01"
"2001-02",2001,"F7","Vice Chair","5164_01"
"2001-02",2001,"F8","Co-Chair","2167_01"
"2001-02",2001,"F8","Co-Chair","173_01"
"2001-02",2001,"F8","Vice Chair","2158_01"
"2001-02",2001,"F8","Vice Chair","3447_01"
"2001-02",2001,"F9","Co-Chair","619_01"
"2001-02",2001,"F9","Co-Chair","1543_01"
"2001-02",2001,"F9","Vice Chair","3484_01"
"2001-02",2001,"F9","Vice Chair","1609_01"
"2001-02",2001,"F10","Co-Chair","3972_01"
"2001-02",2001,"F10","Co-Chair","2314_01"
"2001-02",2001,"F10","Vice Chair","1381_01"
"2001-02",2001,"F10","Vice Chair","5166_01"
"2001-02",2001,"F11","Co-Chair","1586_01"
"2001-02",2001,"F11","Co-Chair","2159_01"
"2001-02",2001,"F11","Vice Chair","3486_01"
"2001-02",2001,"F11","Vice Chair","1589_01"
"2001-02",2001,"F12","Co-Chair","1574_01"
"2001-02",2001,"F12","Co-Chair","1570_01"
"2001-02",2001,"F12","Vice Chair","2742_01"
"2001-02",2001,"F12","Vice Chair","6307_01"
"2001-02",2001,"F13","Co-Chair","1590_01"
"2001-02",2001,"F13","Co-Chair","630_01"
"2001-02",2001,"F13","Vice Chair","3470_01"
"2001-02",2001,"F13","Vice Chair","2172_01"
"2001-02",2001,"F14","Co-Chair","2174_01"
"2001-02",2001,"F14","Co-Chair","2160_01"
"2001-02",2001,"F14","Vice Chair","5163_01"
"2001-02",2001,"F14","Vice Chair","3481_01"
"2001-02",2001,"F17","Co-Chair","1157_01"
"2001-02",2001,"F17","Co-Chair","651_01"
"2001-02",2001,"F17","Vice Chair","3478_01"
"2001-02",2001,"F17","Vice Chair","3249_01"
"2001-02",2001,"F18","Co-Chair","1573_01"
"2001-02",2001,"F18","Co-Chair","1658_01"
"2001-02",2001,"F18","Vice Chair","72_01"
"2001-02",2001,"F18","Vice Chair","3482_01"
"2001-02",2001,"F19","Co-Chair","443_01"
"2001-02",2001,"F19","Co-Chair","661_01"
"2001-02",2001,"F19","Vice Chair","2146_01"
"2001-02",2001,"F19","Vice Chair","2742_01"
"2001-02",2001,"F19","Vice Chair","5158_01"
"2001-02",2001,"F20","Co-Chair","136_01"
"2001-02",2001,"F20","Co-Chair","286_01"
"2001-02",2001,"F20","Vice Chair","2150_01"
"2001-02",2001,"F20","Vice Chair","3473_01"
"2001-02",2001,"F20","Vice Chair","167_01"
"2001-02",2001,"F20","Vice Chair","3476_01"
"2001-02",2001,"F21","Chair","347_01"
"2001-02",2001,"F21","Vice Chair","655_01"
"2001-02",2001,"F21","Ranking Minority Member","1666_01"
"2001-02",2001,"F22","Chair","394_01"
"2001-02",2001,"F22","Vice Chair","512_01"
"2001-02",2001,"F22","Ranking Minority Member","657_01"
"2001-02",2001,"F23","Chair","564_01"
"2001-02",2001,"F23","Vice Chair","633_01"
"2001-02",2001,"F23","Ranking Minority Member","635_01"
"2001-02",2001,"F24","Chair","143_01"
"2001-02",2001,"F24","Vice Chair","1595_01"
"2001-02",2001,"F24","Ranking Minority Member","295_01"
"2001-02",2001,"F25","Chair","659_01"
"2001-02",2001,"F25","Vice Chair","142_01"
"2001-02",2001,"F25","Ranking Minority Member","516_01"
"2001-02",2001,"F26","Chair","644_01"
"2001-02",2001,"F26","Vice Chair","655_01"
"2001-02",2001,"F26","Ranking Minority Member","198_01"
"2001-02",2001,"F27","Chair","171_01"
"2001-02",2001,"F27","Vice Chair","1655_01"
"2001-02",2001,"F27","Ranking Minority Member","647_01"
"2001-02",2001,"F28","Chair","2304_01"
"2001-02",2001,"F28","Vice Chair","2168_01"
"2001-02",2001,"F28","Ranking Minority Member","268_01"
"2001-02",2001,"F29","Chair","337_01"
"2001-02",2001,"F29","Vice Chair","1950_01"
"2001-02",2001,"F29","Ranking Minority Member","475_01"
"2001-02",2001,"F30","Chair","207_01"
"2001-02",2001,"F30","Vice Chair","1658_01"
"2001-02",2001,"F30","Ranking Minority Member","316_01"
"2001-02",2001,"F32","Chair","2153_01"
"2001-02",2001,"F32","Vice Chair","1603_01"
"2001-02",2001,"F32","Ranking Minority Member","361_01"
"2001-02",2001,"F33","Chair","174_01"
"2001-02",2001,"F33","Vice Chair","2153_01"
"2001-02",2001,"F33","Ranking Minority Member","1583_01"
"2001-02",2001,"F34","Chair","618_01"
"2001-02",2001,"F34","Vice Chair","1595_01"
"2001-02",2001,"F34","Vice Chair","1603_01"
"2001-02",2001,"F34","Ranking Minority Member","2140_01"
